# t[days] u g r i z y J H K
0.20202 -11.008 -10.364 -9.662 -9.388 -9.184 -7.542 -8.623 -13.347 -5.274 
0.40404 -13.565 -13.464 -13.847 -14.978 -13.905 -14.129 -13.907 -12.595 -13.237 
0.60606 -13.979 -14.566 -14.646 -15.455 -15.257 -14.927 -14.716 -13.845 -13.798 
0.80808 -13.801 -14.559 -15.342 -15.682 -15.877 -15.305 -15.441 -14.892 -13.788 
1.01010 -13.250 -14.506 -15.350 -16.003 -15.984 -15.756 -15.563 -15.261 -15.511 
1.21212 -12.921 -14.295 -15.559 -16.191 -16.479 -16.051 -15.971 -15.887 -15.444 
1.41414 -12.372 -14.101 -15.344 -16.087 -16.232 -16.410 -16.167 -16.193 -15.895 
1.61616 -11.373 -13.812 -15.104 -15.867 -16.341 -16.395 -16.298 -16.289 -15.939 
1.81818 -10.943 -13.496 -14.836 -15.748 -16.112 -16.155 -16.387 -16.431 -16.014 
2.02020 -11.031 -13.293 -14.677 -15.729 -16.118 -16.217 -16.329 -16.197 -15.922 
2.22222 -10.918 -12.607 -14.239 -15.436 -15.851 -16.066 -16.210 -16.264 -16.274 
2.42424 -11.118 -12.299 -13.856 -15.187 -15.774 -16.001 -16.106 -16.204 -16.189 
2.62626 -11.201 -12.064 -13.794 -14.982 -15.618 -15.724 -16.086 -16.136 -16.149 
2.82828 -11.188 -11.862 -13.293 -14.792 -15.333 -15.681 -15.918 -16.156 -15.936 
3.03030 -11.123 -11.655 -12.972 -14.426 -15.154 -15.516 -15.755 -15.862 -15.963 
3.23232 -11.028 -11.563 -13.035 -14.278 -15.210 -15.449 -15.744 -15.965 -15.900 
3.43434 -10.909 -11.475 -12.764 -14.159 -14.987 -15.206 -15.552 -15.710 -16.021 
3.63636 -10.757 -11.159 -12.476 -14.032 -14.804 -15.202 -15.437 -15.695 -15.876 
3.83838 -10.611 -11.031 -12.048 -13.905 -14.738 -15.054 -15.311 -15.616 -15.814 
4.04040 -10.455 -10.971 -12.122 -13.709 -14.398 -14.864 -15.244 -15.559 -15.775 
4.24242 -10.299 -10.808 -11.878 -13.350 -14.392 -14.833 -15.115 -15.660 -15.558 
4.44444 -10.159 -10.616 -11.778 -13.249 -14.262 -14.703 -15.045 -15.467 -15.515 
4.64646 -9.999 -10.493 -11.513 -13.189 -14.126 -14.465 -14.975 -15.369 -15.368 
4.84848 -9.853 -10.365 -11.297 -13.030 -14.077 -14.507 -14.927 -15.300 -15.576 
5.05051 -9.694 -10.265 -11.262 -12.909 -13.944 -14.463 -14.808 -15.100 -15.361 
5.25253 -9.546 -10.204 -11.160 -12.806 -13.843 -14.325 -14.712 -15.049 -15.441 
5.45455 -9.380 -10.022 -11.089 -12.910 -13.906 -14.277 -14.706 -15.089 -15.287 
5.65657 -9.221 -9.928 -10.985 -12.582 -13.743 -14.295 -14.582 -15.045 -15.329 
5.85859 -9.070 -9.798 -10.736 -12.536 -13.547 -14.175 -14.376 -14.901 -15.088 
6.06061 -8.917 -9.677 -10.789 -12.430 -13.687 -14.125 -14.440 -14.823 -15.053 
6.26263 -8.754 -9.624 -10.716 -12.440 -13.455 -13.978 -14.348 -14.861 -14.857 
6.46465 -8.613 -9.521 -10.661 -12.329 -13.331 -13.749 -14.224 -14.811 -14.975 
6.66667 -8.465 -9.355 -10.674 -12.181 -13.425 -13.814 -14.126 -14.614 -14.928 
6.86869 -8.322 -9.324 -10.816 -12.198 -13.272 -13.865 -14.076 -14.476 -14.877 
7.07071 -8.193 -9.191 -10.416 -12.150 -13.119 -13.577 -13.984 -14.403 -14.807 
7.27273 -8.043 -9.049 -10.309 -12.015 -13.141 -13.586 -13.936 -14.326 -14.744 
7.47475 -7.898 -9.103 -10.467 -12.098 -12.979 -13.618 -13.938 -14.283 -14.615 
7.67677 -7.751 -8.909 -10.405 -11.902 -13.015 -13.376 -13.777 -14.179 -14.579 
7.87879 -7.601 -8.832 -10.261 -11.845 -12.958 -13.332 -13.721 -14.108 -14.608 
8.08081 -7.471 -8.814 -10.281 -11.827 -12.889 -13.418 -13.710 -14.063 -14.435 
8.28283 -7.315 -8.628 -10.242 -11.722 -12.725 -13.308 -13.614 -14.035 -14.426 
8.48485 -7.188 -8.542 -10.059 -11.621 -12.761 -13.185 -13.628 -13.999 -14.363 
8.68687 -7.071 -8.388 -10.102 -11.650 -12.741 -13.105 -13.507 -13.938 -14.290 
8.88889 -6.943 -8.405 -9.945 -11.631 -12.701 -13.107 -13.455 -13.707 -14.093 
9.09091 -6.807 -8.285 -9.948 -11.543 -12.521 -13.074 -13.353 -13.810 -14.079 
9.29293 -6.649 -8.125 -9.801 -11.454 -12.567 -13.016 -13.290 -13.631 -14.056 
9.49495 -6.502 -7.988 -9.724 -11.407 -12.501 -12.928 -13.270 -13.680 -14.009 
9.69697 -6.373 -7.990 -9.743 -11.482 -12.407 -12.848 -13.184 -13.695 -13.943 
