# t[days] u g r i z y J H K
0.20202 160.696 104.423 116.873 nan nan nan nan nan nan 
0.40404 -12.476 -11.151 -11.821 -11.777 -11.648 -10.101 -13.251 -7.700 -8.865 
0.60606 -13.564 -13.407 -13.551 -14.225 -14.527 -14.156 -13.298 -11.274 -12.693 
0.80808 -13.368 -13.783 -14.232 -14.227 -14.535 -14.568 -13.715 -13.164 -12.601 
1.01010 -13.570 -13.988 -14.092 -14.521 -14.516 -14.181 -13.718 -13.756 -12.437 
1.21212 -13.801 -14.090 -14.224 -14.625 -14.517 -14.208 -14.090 -13.299 -12.933 
1.41414 -13.694 -14.118 -14.299 -14.552 -14.487 -14.433 -14.152 -14.024 -13.598 
1.61616 -13.683 -13.986 -14.270 -14.511 -14.662 -14.698 -14.329 -14.004 -13.553 
1.81818 -13.234 -13.889 -14.267 -14.562 -14.554 -14.582 -14.576 -13.912 -13.573 
2.02020 -12.993 -13.639 -13.947 -14.630 -14.700 -14.548 -14.226 -13.909 -13.620 
2.22222 -12.771 -13.465 -13.960 -14.386 -14.417 -14.332 -14.213 -14.178 -14.037 
2.42424 -12.539 -13.190 -13.735 -14.114 -14.288 -14.473 -14.324 -14.179 -13.925 
2.62626 -12.264 -13.017 -13.562 -14.131 -14.208 -14.406 -14.177 -14.112 -14.002 
2.82828 -12.091 -12.838 -13.485 -14.148 -14.281 -14.278 -14.311 -14.093 -13.821 
3.03030 -11.680 -12.588 -13.225 -14.012 -14.276 -14.198 -14.240 -14.238 -14.156 
3.23232 -11.402 -12.267 -13.019 -13.735 -13.957 -14.261 -14.288 -14.194 -14.129 
3.43434 -11.150 -12.158 -13.049 -13.714 -14.123 -14.109 -14.345 -14.354 -14.175 
3.63636 -10.897 -11.870 -12.914 -13.560 -14.004 -14.175 -14.261 -14.126 -14.180 
3.83838 -10.739 -11.643 -12.481 -13.519 -13.869 -13.859 -13.990 -14.264 -13.899 
4.04040 -10.437 -11.473 -12.275 -13.065 -13.767 -13.868 -14.348 -14.067 -14.252 
4.24242 -10.266 -11.305 -12.100 -13.136 -13.507 -13.692 -14.032 -14.120 -14.126 
4.44444 -10.027 -11.056 -11.961 -12.858 -13.475 -13.664 -14.109 -13.948 -14.004 
4.64646 -9.805 -10.796 -11.607 -12.693 -13.209 -13.589 -13.950 -14.233 -13.865 
4.84848 -9.591 -10.619 -11.512 -12.497 -13.146 -13.505 -13.916 -14.091 -14.289 
5.05051 -9.382 -10.323 -11.300 -12.338 -12.843 -13.242 -13.746 -13.952 -14.071 
5.25253 -9.190 -10.152 -11.125 -12.238 -12.843 -13.278 -13.928 -14.205 -14.057 
5.45455 -8.989 -10.000 -11.095 -12.076 -12.681 -13.072 -13.677 -14.078 -14.250 
5.65657 -8.807 -9.821 -11.084 -11.893 -12.630 -12.844 -13.542 -13.886 -14.052 
5.85859 -8.616 -9.648 -10.486 -11.781 -12.643 -12.720 -13.585 -14.028 -14.112 
6.06061 -8.448 -9.535 -10.372 -11.646 -12.282 -12.711 -13.519 -13.870 -14.045 
6.26263 -8.258 -9.295 -10.182 -11.453 -12.202 -12.712 -13.492 -13.762 -13.934 
6.46465 -8.085 -9.228 -10.104 -11.280 -11.863 -12.416 -13.368 -13.737 -14.091 
6.66667 -7.924 -8.941 -9.882 -10.982 -11.820 -12.447 -13.217 -13.882 -14.108 
6.86869 -7.740 -8.791 -9.712 -10.992 -11.887 -12.409 -13.149 -13.626 -14.048 
7.07071 -7.567 -8.628 -9.391 -10.512 -11.806 -12.061 -12.919 -13.636 -13.784 
7.27273 -7.388 -8.466 -9.286 -10.664 -11.437 -11.948 -12.823 -13.562 -13.903 
7.47475 -7.202 -8.328 -9.276 -10.372 -11.447 -11.998 -12.732 -13.518 -13.983 
7.67677 -7.015 -8.191 -9.179 -10.313 -11.202 -11.859 -12.783 -13.475 -13.773 
7.87879 -6.865 -8.018 -8.946 -10.274 -11.113 -11.794 -12.700 -13.492 -13.829 
8.08081 -6.680 -7.823 -8.713 -10.099 -10.841 -11.431 -12.568 -13.407 -13.657 
8.28283 -6.474 -7.671 -8.491 -9.763 -10.888 -11.285 -12.386 -13.364 -13.676 
8.48485 -6.285 -7.531 -8.312 -9.493 -10.617 -11.408 -12.285 -13.317 -13.659 
8.68687 -6.145 -7.347 -8.121 -9.572 -10.553 -10.857 -12.155 -13.087 -13.355 
8.88889 -5.956 -7.196 -8.152 -9.468 -10.727 -11.138 -12.163 -13.115 -13.611 
9.09091 -5.817 -7.054 -8.029 -9.117 -10.210 -10.905 -12.072 -13.067 -13.538 
9.29293 -5.634 -6.895 -8.049 -9.233 -10.638 -11.179 -12.070 -12.836 -13.557 
9.49495 -5.456 -6.750 -7.495 -8.781 -10.089 -11.166 -11.913 -12.902 -13.319 
9.69697 -5.319 -6.652 -7.320 -8.695 -10.374 -10.425 -11.939 -12.677 -13.400 
9.89899 -5.180 -6.464 -7.296 -8.822 -9.632 -10.275 -11.838 -12.769 -13.344 
10.10101 -4.982 -6.312 -7.239 -8.566 -9.619 -10.246 -11.682 -12.599 -13.321 
10.30303 -4.832 -6.201 -7.080 -8.518 -9.588 -10.726 -11.673 -12.671 -13.378 
10.50505 -4.735 -6.050 -6.946 -8.029 -9.506 -10.451 -11.385 -12.521 -13.153 
10.70707 -4.608 -5.918 -6.783 -8.097 -9.422 -10.037 -11.343 -12.460 -13.117 
10.90909 -4.418 -5.848 -6.802 -8.170 -9.324 -9.811 -11.362 -12.314 -13.069 
11.11111 -4.298 -5.685 -6.499 -7.736 -8.851 -9.678 -11.190 -12.447 -13.217 
11.31313 -4.126 -5.554 -6.469 -7.769 -9.066 -9.749 -11.198 -12.237 -13.089 
11.51515 -3.961 -5.418 -6.315 -7.399 -8.865 -9.321 -11.078 -12.047 -12.898 
11.71717 -3.774 -5.286 -6.365 -7.652 -8.743 -9.598 -11.052 -12.033 -12.959 
11.91919 -3.615 -5.172 -6.140 -7.324 -8.605 -9.374 -10.842 -12.276 -13.034 
12.12121 -3.418 -5.070 -5.932 -7.356 -8.473 -9.351 -10.637 -12.188 -12.944 
12.32323 -3.299 -4.966 -5.876 -7.293 -8.499 -9.296 -10.705 -11.944 -12.745 
12.52525 -3.133 -4.874 -5.695 -7.091 -8.552 -9.009 -10.647 -11.917 -12.710 
12.72727 -3.029 -4.777 -5.581 -6.945 -8.804 -8.868 -10.393 -12.009 -12.726 
12.92929 -2.829 -4.687 -5.576 -6.811 -8.605 -8.521 -10.410 -11.834 -12.622 
13.13131 -2.748 -4.589 -5.795 -6.681 -7.766 -8.915 -10.501 -11.651 -12.593 
13.33333 -2.596 -4.499 -5.329 -6.505 -7.816 -8.491 -10.317 -11.723 -12.432 
13.53535 -2.424 -4.400 -5.357 -6.530 -7.936 -8.881 -10.121 -11.636 -12.504 
13.73737 -2.373 -4.318 -5.302 -7.292 -8.134 -8.807 -10.058 -11.407 -12.482 
13.93939 -2.200 -4.234 -5.079 -6.845 -7.654 -8.393 -9.928 -11.295 -12.222 
14.14141 -2.156 -4.142 -5.021 -6.612 -7.444 -8.436 -10.099 -11.363 -12.352 
14.34343 -2.050 -4.061 -4.982 -6.023 -7.332 -8.237 -9.968 -11.166 -12.264 
14.54545 -1.876 -3.930 -5.069 -6.723 -7.248 -8.016 -9.755 -11.136 -12.238 
14.74747 -1.780 -3.884 -4.928 -5.670 -7.095 -8.019 -9.702 -11.205 -12.365 
14.94949 -1.710 -3.758 -4.670 -6.135 -7.019 -7.975 -9.726 -11.042 -12.128 
15.15152 -1.621 -3.662 -4.610 -5.698 -6.792 -7.462 -9.824 -11.002 -12.048 
15.35354 -1.598 -3.522 -4.571 -5.851 -6.860 -7.618 -9.737 -11.049 -12.139 
15.55556 -1.436 -3.484 -4.535 -5.653 -6.881 -7.886 -9.489 -10.928 -12.075 
15.75758 -1.392 -3.363 -4.432 -5.400 -6.152 -7.686 -9.270 -10.894 -12.047 
15.95960 -1.381 -3.545 -4.302 -5.420 -6.785 -7.487 -9.391 -10.820 -11.819 
16.16162 -1.134 -3.283 -4.305 -5.476 -6.220 -7.340 -9.126 -10.541 -11.805 
16.36364 -1.102 -3.424 -4.254 -5.451 -6.595 -7.148 -9.085 -10.529 -11.824 
16.56566 -0.977 -2.977 -4.099 -4.952 -6.185 -7.459 -9.428 -10.582 -11.579 
16.76768 -2.864 -2.900 -4.148 -5.129 -6.597 -7.288 -8.904 -10.484 -11.631 
16.96970 -0.842 -2.857 -4.070 -4.895 -6.495 -7.883 -8.951 -10.665 -11.636 
17.17172 -0.685 -2.764 -3.849 -4.808 -5.996 -6.959 -8.777 -10.404 -11.488 
17.37374 -0.565 -2.642 -3.795 -4.821 -6.170 -6.799 -8.807 -10.203 -11.479 
17.57576 -0.304 -2.591 -3.743 -4.745 -6.338 -7.057 -8.736 -10.235 -11.473 
17.77778 -0.193 -2.465 -3.655 -4.572 -5.811 -6.900 -8.443 -10.123 -11.434 
17.97980 -0.145 -2.400 -3.526 -4.718 -5.828 -6.805 -8.612 -10.109 -11.162 
18.18182 0.096 -2.217 -3.399 -4.365 -5.712 -6.419 -8.388 -10.131 -11.243 
18.38384 0.207 -2.181 -3.296 -4.296 -5.663 -6.755 -8.379 -9.898 -11.165 
18.58586 0.403 -2.044 -3.189 -4.930 -5.659 -6.403 -8.457 -9.767 -11.312 
18.78788 0.304 -1.974 -3.148 -4.055 -5.571 -6.386 -8.206 -9.935 -10.848 
18.98990 -3.247 -1.917 -3.096 -4.626 -5.654 -6.473 -8.241 -9.717 -11.104 
19.19192 0.735 -1.716 -3.406 -4.106 -5.453 -6.645 -8.083 -9.913 -11.067 
19.39394 0.962 -2.991 -3.555 -3.784 -5.073 -6.129 -8.083 -9.650 -10.872 
19.59596 0.882 -1.562 -3.116 -4.380 -4.970 -6.059 -7.857 -9.513 -10.998 
19.79798 0.446 -1.489 -3.852 -3.943 -5.288 -6.149 -7.722 -9.489 -10.835 
20.00000 0.886 -1.428 -2.554 -3.663 -4.673 -5.610 -7.795 -9.403 -10.637 
