# t[days] u g r i z y J H K
0.20202 -11.356 -12.393 -12.690 -12.438 -11.181 -12.264 -11.295 -9.117 -5.557 
0.40404 -14.063 -14.879 -15.135 -14.852 -14.263 -13.807 -13.085 -13.216 -11.097 
0.60606 -14.576 -15.356 -15.747 -15.592 -15.047 -14.912 -14.356 -13.909 -13.220 
0.80808 -14.201 -15.513 -15.918 -15.752 -15.341 -15.038 -14.614 -14.308 -13.561 
1.01010 -13.946 -15.406 -15.892 -15.689 -15.461 -15.200 -14.867 -14.633 -14.211 
1.21212 -13.538 -15.170 -15.705 -15.615 -15.380 -15.163 -14.874 -14.407 -14.247 
1.41414 -13.056 -14.802 -15.444 -15.360 -15.252 -15.150 -14.808 -14.527 -14.246 
1.61616 -12.601 -14.489 -15.158 -15.171 -15.114 -14.967 -14.747 -14.464 -13.942 
1.81818 -11.946 -14.108 -14.784 -14.909 -14.838 -14.780 -14.616 -14.255 -14.040 
2.02020 -11.528 -13.756 -14.510 -14.652 -14.665 -14.635 -14.511 -14.209 -14.112 
2.22222 -11.021 -13.335 -14.177 -14.452 -14.465 -14.428 -14.276 -14.073 -13.811 
2.42424 -10.514 -12.970 -13.831 -14.169 -14.264 -14.367 -14.114 -14.045 -13.826 
2.62626 -10.087 -12.632 -13.573 -13.888 -14.060 -14.053 -14.006 -13.976 -13.904 
2.82828 -9.742 -12.329 -13.358 -13.736 -13.900 -13.900 -13.884 -13.859 -13.742 
3.03030 -9.317 -12.041 -13.103 -13.532 -13.730 -13.735 -13.730 -13.761 -13.568 
3.23232 -8.979 -11.734 -12.874 -13.376 -13.579 -13.680 -13.618 -13.692 -13.634 
3.43434 -8.588 -11.465 -12.608 -13.117 -13.399 -13.538 -13.516 -13.537 -13.540 
3.63636 -8.193 -11.170 -12.356 -12.955 -13.238 -13.289 -13.351 -13.551 -13.496 
3.83838 -7.970 -10.958 -12.233 -12.860 -13.093 -13.151 -13.271 -13.424 -13.447 
4.04040 -7.658 -10.670 -12.020 -12.656 -12.963 -13.031 -13.141 -13.287 -13.365 
4.24242 -7.353 -10.456 -11.767 -12.539 -12.819 -12.890 -13.075 -13.244 -13.296 
4.44444 -6.820 -10.208 -11.632 -12.290 -12.686 -12.816 -12.911 -13.132 -13.219 
4.64646 -6.630 -9.976 -11.467 -12.125 -12.604 -12.667 -12.782 -13.027 -13.096 
4.84848 -6.721 -9.706 -11.229 -12.021 -12.372 -12.565 -12.741 -12.913 -13.120 
5.05051 -6.200 -9.540 -11.095 -11.836 -12.278 -12.433 -12.576 -12.892 -13.086 
5.25253 -5.968 -9.339 -10.888 -11.781 -12.140 -12.293 -12.514 -12.783 -12.923 
5.45455 -5.536 -9.008 -10.676 -11.585 -12.026 -12.212 -12.457 -12.748 -12.935 
5.65657 -5.438 -8.811 -10.589 -11.439 -11.926 -12.106 -12.359 -12.666 -12.901 
5.85859 -5.099 -8.633 -10.424 -11.382 -11.917 -12.035 -12.289 -12.560 -12.729 
