# t[days] u g r i z y J H K
0.20202 91.345 89.943 102.393 nan nan nan nan nan nan 
0.40404 -12.178 -10.759 -11.097 -11.753 -11.693 -12.790 -11.940 -9.998 -12.841 
0.60606 -13.547 -13.151 -13.440 -13.834 -13.035 -13.676 -13.869 -13.819 -12.908 
0.80808 -14.206 -14.155 -14.073 -15.059 -15.436 -14.955 -14.686 -14.197 -13.368 
1.01010 -14.651 -14.407 -14.646 -15.027 -15.069 -15.055 -15.296 -14.739 -13.868 
1.21212 -14.786 -14.713 -14.815 -15.251 -15.567 -15.669 -15.341 -14.888 -14.542 
1.41414 -14.635 -14.610 -14.641 -15.021 -15.301 -15.538 -15.334 -14.955 -14.582 
1.61616 -14.475 -14.542 -14.711 -15.191 -15.464 -15.530 -15.509 -15.130 -14.312 
1.81818 -14.352 -14.524 -14.710 -14.982 -15.471 -15.438 -15.324 -14.892 -14.704 
2.02020 -14.299 -14.519 -14.884 -15.243 -15.443 -15.555 -15.432 -14.932 -14.972 
2.22222 -14.150 -14.595 -14.760 -15.169 -15.504 -15.580 -15.527 -15.169 -14.630 
2.42424 -14.064 -14.516 -14.751 -15.178 -15.663 -15.672 -15.541 -15.205 -14.939 
2.62626 -13.773 -14.492 -14.855 -15.346 -15.452 -15.719 -15.556 -15.180 -14.615 
2.82828 -13.413 -14.150 -14.740 -15.163 -15.510 -15.661 -15.586 -15.279 -14.731 
3.03030 -13.582 -14.359 -14.793 -15.241 -15.435 -15.598 -15.635 -15.436 -15.070 
3.23232 -13.473 -14.254 -14.823 -15.165 -15.539 -15.776 -15.680 -15.424 -15.153 
3.43434 -12.947 -13.980 -14.583 -15.146 -15.416 -15.655 -15.571 -15.467 -15.326 
3.63636 -12.913 -13.889 -14.608 -15.107 -15.411 -15.562 -15.640 -15.394 -15.181 
3.83838 -12.756 -13.688 -14.481 -15.081 -15.359 -15.534 -15.596 -15.350 -15.215 
4.04040 -12.464 -13.712 -14.523 -15.103 -15.427 -15.613 -15.678 -15.444 -15.156 
4.24242 -12.631 -13.747 -14.521 -14.998 -15.400 -15.593 -15.655 -15.541 -15.203 
4.44444 -12.475 -13.471 -14.416 -14.933 -15.332 -15.532 -15.609 -15.514 -15.412 
4.64646 -11.925 -13.199 -14.181 -14.901 -15.227 -15.544 -15.637 -15.572 -15.339 
4.84848 -11.788 -13.015 -14.048 -14.810 -15.254 -15.462 -15.587 -15.550 -15.381 
5.05051 -11.394 -12.885 -13.951 -14.792 -15.250 -15.366 -15.573 -15.493 -15.425 
5.25253 -11.569 -12.982 -13.943 -14.646 -15.108 -15.356 -15.503 -15.516 -15.318 
5.45455 -10.738 -12.512 -13.670 -14.440 -15.016 -15.289 -15.537 -15.542 -15.350 
5.65657 -9.981 -12.299 -13.667 -14.348 -14.893 -15.203 -15.508 -15.473 -15.332 
5.85859 -10.804 -12.195 -13.556 -14.372 -14.912 -15.170 -15.340 -15.483 -15.368 
6.06061 -9.606 -11.935 -13.281 -14.243 -14.746 -15.156 -15.365 -15.427 -15.335 
6.26263 -9.578 -11.857 -13.244 -14.218 -14.811 -15.156 -15.319 -15.471 -15.292 
6.46465 -9.420 -11.609 -13.145 -13.936 -14.600 -14.909 -15.299 -15.399 -15.374 
6.66667 -8.964 -11.707 -12.889 -13.923 -14.572 -14.924 -15.195 -15.368 -15.337 
6.86869 -9.743 -11.394 -12.905 -13.773 -14.487 -14.770 -15.140 -15.304 -15.334 
7.07071 -8.362 -11.014 -12.559 -13.668 -14.340 -14.659 -15.098 -15.224 -15.207 
7.27273 -9.328 -11.037 -12.536 -13.486 -14.343 -14.654 -14.975 -15.299 -15.208 
7.47475 -7.990 -10.615 -12.363 -13.371 -14.072 -14.499 -14.949 -15.103 -15.198 
7.67677 -7.798 -10.749 -12.234 -13.380 -13.979 -14.368 -14.886 -15.145 -15.252 
7.87879 -7.159 -10.124 -12.160 -13.250 -13.947 -14.360 -14.840 -15.045 -15.229 
8.08081 -7.286 -10.027 -11.986 -13.022 -13.838 -14.335 -14.755 -14.979 -15.013 
8.28283 -7.055 -10.034 -11.741 -13.046 -13.750 -14.202 -14.712 -14.963 -15.137 
8.48485 -5.580 -10.144 -11.691 -12.854 -13.580 -14.026 -14.569 -14.943 -15.029 
8.68687 -6.418 -9.293 -11.231 -12.728 -13.506 -13.953 -14.479 -14.822 -14.979 
8.88889 -8.772 -9.069 -11.305 -12.656 -13.401 -13.841 -14.459 -14.774 -15.059 
9.09091 -5.567 -8.897 -11.050 -12.362 -13.344 -13.820 -14.336 -14.770 -14.883 
9.29293 -6.000 -9.048 -10.847 -12.523 -13.180 -13.703 -14.357 -14.733 -14.805 
9.49495 -6.980 -8.294 -10.625 -12.308 -13.062 -13.652 -14.212 -14.704 -14.936 
9.69697 -5.245 -8.916 -10.702 -12.260 -13.073 -13.518 -14.125 -14.539 -14.824 
9.89899 -6.101 -8.976 -10.548 -12.124 -13.015 -13.473 -14.081 -14.516 -14.809 
10.10101 -4.935 -8.221 -10.361 -11.983 -12.973 -13.462 -14.029 -14.523 -14.770 
10.30303 -4.361 -8.366 -10.202 -11.680 -12.787 -13.353 -13.887 -14.450 -14.663 
10.50505 -4.271 -7.674 -10.063 -11.765 -12.646 -13.173 -13.845 -14.423 -14.685 
10.70707 -5.727 -7.729 -10.033 -11.629 -12.588 -13.027 -13.782 -14.314 -14.584 
10.90909 -5.068 -7.513 -9.868 -11.324 -12.441 -12.974 -13.705 -14.196 -14.468 
11.11111 -2.948 -6.927 -9.912 -11.378 -12.432 -12.895 -13.641 -14.197 -14.474 
11.31313 -5.304 -6.814 -9.554 -11.307 -12.213 -12.888 -13.551 -14.117 -14.403 
11.51515 -5.130 -8.159 -9.597 -11.289 -12.154 -12.830 -13.539 -14.086 -14.432 
11.71717 -5.191 -6.917 -9.040 -11.014 -12.053 -12.587 -13.366 -14.029 -14.307 
